m,n,k,processes,threads,error,generation_time,first_communication_time,second_communication_time,parallel_time,serial_time
256,256,256,0,16,0.000000,0.009797,0.000000,0.000000,0.000979,0.000000
256,256,256,0,20,0.000000,0.006749,0.000000,0.000000,0.001534,0.000000
256,256,256,0,4,0.000000,0.004306,0.000000,0.000000,0.003702,0.000000
256,256,256,0,8,0.000000,0.003632,0.000000,0.000000,0.001891,0.000000
256,256,256,0,12,0.000000,0.003709,0.000000,0.000000,0.001265,0.000000
256,256,256,0,16,0.000000,0.003761,0.000000,0.000000,0.000964,0.000000
256,256,256,0,20,0.000000,0.003886,0.000000,0.000000,0.000937,0.000000
256,256,256,0,4,0.000000,0.003482,0.000000,0.000000,0.003758,0.000000
256,256,256,0,8,0.000000,0.003559,0.000000,0.000000,0.001881,0.000000
256,256,256,0,12,0.000000,0.003611,0.000000,0.000000,0.001272,0.000000
256,256,256,0,16,0.000000,0.003571,0.000000,0.000000,0.000975,0.000000
256,256,256,0,20,0.000000,0.003940,0.000000,0.000000,0.000913,0.000000
512,512,512,0,4,0.000000,0.013347,0.000000,0.000000,0.026825,0.023666
512,512,512,0,8,0.000000,0.011512,0.000000,0.000000,0.015234,0.023079
512,512,512,0,12,0.000000,0.012156,0.000000,0.000000,0.010885,0.022341
512,512,512,0,16,0.000000,0.025222,0.000000,0.000000,0.008373,0.026832
512,512,512,0,20,0.000000,0.023874,0.000000,0.000000,0.006822,0.023679
512,512,512,0,4,0.000000,0.013045,0.000000,0.000000,0.025954,0.000000
512,512,512,0,8,0.000000,0.014357,0.000000,0.000000,0.016766,0.000000
512,512,512,0,12,0.000000,0.014069,0.000000,0.000000,0.011321,0.000000
512,512,512,0,16,0.000000,0.019057,0.000000,0.000000,0.008507,0.000000
512,512,512,0,20,0.000000,0.016226,0.000000,0.000000,0.006905,0.000000
512,512,512,0,4,0.000000,0.012686,0.000000,0.000000,0.025669,0.000000
512,512,512,0,8,0.000000,0.013291,0.000000,0.000000,0.015532,0.000000
512,512,512,0,12,0.000000,0.016482,0.000000,0.000000,0.011056,0.000000
512,512,512,0,16,0.000000,0.011992,0.000000,0.000000,0.008468,0.000000
512,512,512,0,20,0.000000,0.020472,0.000000,0.000000,0.006812,0.000000
512,512,512,0,4,0.000000,0.021164,0.000000,0.000000,0.023770,0.000000
512,512,512,0,8,0.000000,0.012119,0.000000,0.000000,0.015702,0.000000
512,512,512,0,12,0.000000,0.012659,0.000000,0.000000,0.011170,0.000000
512,512,512,0,16,0.000000,0.024254,0.000000,0.000000,0.008495,0.000000
512,512,512,0,20,0.000000,0.021932,0.000000,0.000000,0.006849,0.000000
1024,1024,1024,0,4,0.000000,0.045877,0.000000,0.000000,0.107322,0.196424
1024,1024,1024,0,8,0.000000,0.058406,0.000000,0.000000,0.064367,0.191169
1024,1024,1024,0,12,0.000000,0.045698,0.000000,0.000000,0.049514,0.194182
1024,1024,1024,0,16,0.000000,0.045842,0.000000,0.000000,0.041530,0.194953
1024,1024,1024,0,20,0.000000,0.046755,0.000000,0.000000,0.036696,0.190660
1024,1024,1024,0,4,0.000000,0.059871,0.000000,0.000000,0.109730,0.000000
1024,1024,1024,0,8,0.000000,0.059486,0.000000,0.000000,0.065579,0.000000
1024,1024,1024,0,12,0.000000,0.047483,0.000000,0.000000,0.046944,0.000000
1024,1024,1024,0,16,0.000000,0.046261,0.000000,0.000000,0.041180,0.000000
1024,1024,1024,0,20,0.000000,0.049449,0.000000,0.000000,0.034681,0.000000
1024,1024,1024,0,4,0.000000,0.048119,0.000000,0.000000,0.108328,0.000000
1024,1024,1024,0,8,0.000000,0.061139,0.000000,0.000000,0.064395,0.000000
1024,1024,1024,0,12,0.000000,0.057643,0.000000,0.000000,0.047775,0.000000
1024,1024,1024,0,16,0.000000,0.046725,0.000000,0.000000,0.041097,0.000000
1024,1024,1024,0,20,0.000000,0.046555,0.000000,0.000000,0.036669,0.000000
1024,1024,1024,0,4,0.000000,0.049311,0.000000,0.000000,0.109996,0.000000
1024,1024,1024,0,8,0.000000,0.061379,0.000000,0.000000,0.064497,0.000000
1024,1024,1024,0,12,0.000000,0.063025,0.000000,0.000000,0.048471,0.000000
1024,1024,1024,0,16,0.000000,0.048645,0.000000,0.000000,0.041336,0.000000
1024,1024,1024,0,20,0.000000,0.044772,0.000000,0.000000,0.036930,0.000000
2500,2500,2500,0,4,0.000001,0.259618,0.000000,0.000000,1.279399,3.683471
2500,2500,2500,0,8,0.000001,0.260695,0.000000,0.000000,0.719255,3.587818
2500,2500,2500,0,12,0.000001,0.268346,0.000000,0.000000,0.480178,3.668571
2500,2500,2500,0,16,0.000001,0.261653,0.000000,0.000000,0.372304,3.668522
2500,2500,2500,0,20,0.000001,0.257774,0.000000,0.000000,0.316961,3.604674
2500,2500,2500,0,4,0.000000,0.264049,0.000000,0.000000,1.263035,0.000000
2500,2500,2500,0,8,0.000000,0.246252,0.000000,0.000000,0.704325,0.000000
2500,2500,2500,0,12,0.000000,0.261568,0.000000,0.000000,0.476583,0.000000
2500,2500,2500,0,16,0.000000,0.257799,0.000000,0.000000,0.390054,0.000000
2500,2500,2500,0,20,0.000000,0.260630,0.000000,0.000000,0.316216,0.000000
2500,2500,2500,0,4,0.000000,0.249088,0.000000,0.000000,1.256283,0.000000
2500,2500,2500,0,8,0.000000,0.261478,0.000000,0.000000,0.705151,0.000000
2500,2500,2500,0,12,0.000000,0.259537,0.000000,0.000000,0.480797,0.000000
2500,2500,2500,0,16,0.000000,0.251099,0.000000,0.000000,0.372121,0.000000
2500,2500,2500,0,20,0.000000,0.247416,0.000000,0.000000,0.316633,0.000000
2500,2500,2500,0,4,0.000000,0.248859,0.000000,0.000000,1.277920,0.000000
2500,2500,2500,0,8,0.000000,0.251245,0.000000,0.000000,0.705312,0.000000
2500,2500,2500,0,12,0.000000,0.251402,0.000000,0.000000,0.481618,0.000000
2500,2500,2500,0,16,0.000000,0.269658,0.000000,0.000000,0.392957,0.000000
2500,2500,2500,0,20,0.000000,0.259292,0.000000,0.000000,0.316705,0.000000
5000,5000,5000,0,4,0.000001,0.988232,0.000000,0.000000,10.075082,39.226350
5000,5000,5000,0,8,0.000001,0.985449,0.000000,0.000000,5.589013,39.698496
5000,5000,5000,0,12,0.000001,1.010797,0.000000,0.000000,3.846335,39.418573
5000,5000,5000,0,16,0.000001,0.993798,0.000000,0.000000,3.001019,39.451507
5000,5000,5000,0,20,0.000001,1.000666,0.000000,0.000000,2.470564,39.444170
