m,n,k,processes,threads,error,generation_time,first_communication_time,second_communication_time,parallel_time,serial_time
32,32,32,4,0,0.000000,0.000626,0.000065,0.000202,0.000124,0.000037
32,32,32,8,0,0.000000,0.000848,0.000081,0.000080,0.000194,0.000010
32,32,32,12,0,0.000000,0.000826,0.000371,0.000112,0.000233,0.000013
32,32,32,16,0,0.000000,0.000960,0.000487,0.000131,0.000285,0.000008
32,32,32,20,0,0.000000,0.001472,0.000849,0.000241,0.000472,0.000023
32,32,32,4,0,0.000000,0.000872,0.000074,0.000043,0.000139,0.000000
32,32,32,8,0,0.000000,0.000708,0.000065,0.000081,0.000159,0.000000
32,32,32,12,0,0.000000,0.000922,0.000408,0.000128,0.000264,0.000000
32,32,32,16,0,0.000000,0.000913,0.000380,0.000134,0.000293,0.000000
32,32,32,20,0,0.000000,0.001152,0.000445,0.000186,0.000397,0.000000
32,32,32,4,0,0.000000,0.000742,0.000068,0.000226,0.000152,0.000000
32,32,32,8,0,0.000000,0.000871,0.000085,0.000097,0.000372,0.000000
32,32,32,12,0,0.000000,0.000988,0.000423,0.000112,0.000277,0.000000
32,32,32,16,0,0.000000,0.001234,0.000428,0.000152,0.000308,0.000000
32,32,32,20,0,0.000000,0.001021,0.000398,0.000137,0.000326,0.000000
32,32,32,4,0,0.000000,0.000679,0.000071,0.000244,0.000157,0.000000
32,32,32,8,0,0.000000,0.000929,0.000072,0.000076,0.000172,0.000000
32,32,32,12,0,0.000000,0.001100,0.000478,0.000125,0.000261,0.000000
32,32,32,16,0,0.000000,0.001205,0.000531,0.000129,0.000310,0.000000
32,32,32,20,0,0.000000,0.001224,0.000623,0.000183,0.000398,0.000000
64,64,64,4,0,0.000000,0.000973,0.000083,0.000074,0.000210,0.000051
64,64,64,8,0,0.000000,0.001199,0.000083,0.000107,0.000181,0.000047
64,64,64,12,0,0.000000,0.001545,0.000582,0.001868,0.000301,0.000077
64,64,64,16,0,0.000000,0.001187,0.000405,0.000129,0.000260,0.000043
64,64,64,20,0,0.000000,0.001117,0.000437,0.001516,0.000313,0.000064
64,64,64,4,0,0.000000,0.001043,0.000071,0.000075,0.000147,0.000000
64,64,64,8,0,0.000000,0.000974,0.000092,0.000218,0.000329,0.000000
64,64,64,12,0,0.000000,0.001165,0.000442,0.001667,0.000271,0.000000
64,64,64,16,0,0.000000,0.001029,0.000400,0.000141,0.000286,0.000000
64,64,64,20,0,0.000000,0.001325,0.000451,0.002186,0.000497,0.000000
64,64,64,4,0,0.000000,0.000713,0.000063,0.000071,0.000133,0.000000
64,64,64,8,0,0.000000,0.000745,0.000108,0.000103,0.000235,0.000000
64,64,64,12,0,0.000000,0.001127,0.000489,0.001594,0.000276,0.000000
64,64,64,16,0,0.000000,0.000996,0.000396,0.000154,0.000259,0.000000
64,64,64,20,0,0.000000,0.001308,0.000434,0.001419,0.000372,0.000000
64,64,64,4,0,0.000000,0.000908,0.000086,0.000261,0.000167,0.000000
64,64,64,8,0,0.000000,0.001035,0.000128,0.000087,0.000196,0.000000
64,64,64,12,0,0.000000,0.000977,0.000416,0.001540,0.000432,0.000000
64,64,64,16,0,0.000000,0.000897,0.000407,0.000144,0.000278,0.000000
64,64,64,20,0,0.000000,0.001087,0.000421,0.001878,0.000416,0.000000
128,128,128,4,0,0.000000,0.001519,0.000751,0.000737,0.000319,0.000347
128,128,128,8,0,0.000000,0.001660,0.001161,0.000861,0.000269,0.000477
128,128,128,12,0,0.000000,0.001930,0.001452,0.002421,0.000341,0.000474
128,128,128,16,0,0.000000,0.001915,0.001456,0.001343,0.000361,0.000384
128,128,128,20,0,0.000000,0.001749,0.001409,0.002789,0.000673,0.000481
128,128,128,4,0,0.000000,0.001409,0.000734,0.000713,0.000449,0.000000
128,128,128,8,0,0.000000,0.001540,0.001159,0.000874,0.000284,0.000000
128,128,128,12,0,0.000000,0.001862,0.001402,0.002484,0.000370,0.000000
128,128,128,16,0,0.000000,0.002896,0.002051,0.001257,0.000430,0.000000
128,128,128,20,0,0.000000,0.001976,0.001391,0.002418,0.000495,0.000000
128,128,128,4,0,0.000000,0.001661,0.000774,0.000857,0.000336,0.000000
128,128,128,8,0,0.000000,0.001934,0.001283,0.000782,0.000281,0.000000
128,128,128,12,0,0.000000,0.002696,0.001870,0.002455,0.000427,0.000000
128,128,128,16,0,0.000000,0.001773,0.001331,0.001212,0.000346,0.000000
128,128,128,20,0,0.000000,0.002219,0.001422,0.003163,0.000530,0.000000
128,128,128,4,0,0.000000,0.002039,0.000935,0.000719,0.000409,0.000000
128,128,128,8,0,0.000000,0.001536,0.001204,0.000873,0.000276,0.000000
128,128,128,12,0,0.000000,0.001826,0.001270,0.002272,0.000304,0.000000
128,128,128,16,0,0.000000,0.001700,0.001356,0.001249,0.000355,0.000000
